sku,name,brand,category,description,unit_cost,currency,msrp,tier_base_discount,tier_plus_discount,volume_breaks,lead_time_days,stock_band,accessories,compat_requires,compat_blocks,bundle_components
MIN-ZB-SW-3G,3 Gang Zigbee Smart Switch,Minisim,Switch,"Crystal glass Tuya Zigbee switch, Alexa/Google, colors black/white/gold/silver",29000,NGN,29000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SW-4G,4 Gang Zigbee Smart Switch,Minisim,Switch,"Crystal glass Tuya Zigbee switch, Alexa/Google, colors black/white/gold/silver",32000,NGN,32000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SW-20A,20A Water Heater/AC Switch (Zigbee),Minisim,Switch,"20A crystal glass Tuya Zigbee AC/WH switch, Alexa/Google, colors black/white",27000,NGN,27000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SW-30A,30A Water Heater/AC Switch (Zigbee),Minisim,Switch,"30A crystal glass Tuya Zigbee AC/WH switch, Alexa/Google, colors black/white",28000,NGN,28000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SKT-UNI-USB,3 Pin Universal Wi-Fi Single Socket w/ USB/Type-C (Type 1),Minisim,Socket,"13A crystal glass Tuya Wi-Fi socket with USB/Type-C, Alexa/Google, colors black/white/gold/silver",32500,NGN,32500,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SKT-DBL-USB,Double Wi-Fi Socket w/ USB/Type-C (Type 1),Minisim,Socket,"15A crystal glass Tuya Wi-Fi double socket with USB/Type-C, Alexa/Google, colors black/white/gold/silver",41000,NGN,41000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SKT-UNI-USB,3 Pin Universal Zigbee Single Socket w/ USB/Type-C (Type 1),Minisim,Socket,"13A crystal glass Tuya Zigbee socket with USB/Type-C, Alexa/Google, colors black/white/gold/silver",33000,NGN,33000,0,0,"[]",7,in-stock,"","","",""
MIN-ZB-SKT-DBL-USB,Double Zigbee Socket w/ USB/Type-C (Type 1),Minisim,Socket,"15A crystal glass Tuya Zigbee double socket with USB/Type-C, Alexa/Google, colors black/white/gold/silver",42000,NGN,42000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-STRIP,Smart Power Strip (Wi-Fi),Minisim,Power,"13A Tuya Wi-Fi power strip with voice/remote/group control, overload protection",45000,NGN,45000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-ASTRO-1G,1 Gang Wi-Fi Smart Switch (Astro),Minisim,Switch,"PC shell Tuya Wi-Fi switch, 100-240V, Alexa/Google, colors black/white/grey",24000,NGN,24000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-ASTRO-2G,2 Gang Wi-Fi Smart Switch (Astro),Minisim,Switch,"PC shell Tuya Wi-Fi switch, 100-240V, Alexa/Google, colors black/white/grey",25000,NGN,25000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-ASTRO-3G,3 Gang Wi-Fi Smart Switch (Astro),Minisim,Switch,"PC shell Tuya Wi-Fi switch, 100-240V, Alexa/Google, colors black/white/grey",26000,NGN,26000,0,0,"[]",7,in-stock,"","","",""
MIN-WIFI-SW-ASTRO-4G,4 Gang Wi-Fi Smart Switch (Astro),Minisim,Switch,"PC shell Tuya Wi-Fi switch, 100-240V, Alexa/Google, colors black/white/grey",27000,NGN,27000,0,0,"[]",7,in-stock,"","","",""
